route_id,shipment_id,hop_number,origin_city,destination_city,vehicle_type,start_time,end_time,distance_km,duration_hours,temp_avg_celsius,temp_min_celsius,temp_max_celsius,humidity_avg_percent,compliance_status,alert_flags,batch_number,medication_type,min_temp_limit,max_temp_limit,ambient_weather
VDIST_001,SHIP_00001,1,Delhi,Noida,refrigerated_van,2026-04-19 08:00:00,2026-04-19 10:30:00,45.3,2.5,4.2,2.1,6.8,65,compliant,none,BATCH_VAC_2026_001,Pfizer_BioNTech,2,8,clear
VDIST_001,SHIP_00001,2,Noida,Ghaziabad,cold_truck,2026-04-19 11:00:00,2026-04-19 13:45:00,62.1,2.75,5.1,2.5,7.9,58,compliant,none,BATCH_VAC_2026_001,Pfizer_BioNTech,2,8,clear
VDIST_001,SHIP_00001,3,Ghaziabad,Meerut,refrigerated_van,2026-04-19 14:15:00,2026-04-19 16:30:00,38.5,2.25,6.2,4.0,8.5,52,warning,temp_spike_detected,BATCH_VAC_2026_001,Pfizer_BioNTech,2,8,rainy
VDIST_002,SHIP_00002,1,Delhi,Gurugram,cold_truck,2026-04-19 09:00:00,2026-04-19 11:15:00,35.8,2.25,3.8,1.5,6.2,70,compliant,none,BATCH_VAC_2026_002,Moderna,2,8,clear
VDIST_002,SHIP_00002,2,Gurugram,Manesar,refrigerated_van,2026-04-19 11:45:00,2026-04-19 13:30:00,28.4,1.75,4.5,2.3,7.1,65,compliant,none,BATCH_VAC_2026_002,Moderna,2,8,clear
VDIST_003,SHIP_00003,1,Delhi,Greater_Noida,cold_truck,2026-04-19 08:30:00,2026-04-19 11:00:00,55.2,2.5,7.8,5.2,10.5,48,critical,breach_max_temp,BATCH_VAC_2026_003,AstraZeneca,2,8,hot
VDIST_003,SHIP_00003,2,Greater_Noida,Agra,refrigerated_van,2026-04-19 11:30:00,2026-04-19 14:45:00,85.1,3.25,6.1,3.0,9.2,55,warning,delayed_departure,BATCH_VAC_2026_003,AstraZeneca,2,8,clear
VDIST_004,SHIP_00004,1,Delhi,Faridabad,cold_truck,2026-04-19 10:00:00,2026-04-19 12:30:00,48.9,2.5,4.0,1.8,6.5,72,compliant,none,BATCH_VAC_2026_004,J&J,2,8,foggy
VDIST_004,SHIP_00004,2,Faridabad,Ballabhgarh,refrigerated_van,2026-04-19 13:00:00,2026-04-19 14:45:00,22.3,1.75,5.2,3.1,7.8,68,compliant,none,BATCH_VAC_2026_004,J&J,2,8,clear
VDIST_005,SHIP_00005,1,Delhi,Lucknow,cold_truck,2026-04-19 06:00:00,2026-04-19 11:30:00,245.0,5.5,8.5,4.2,12.3,45,critical,breach_max_temp_prolonged,BATCH_VAC_2026_005,Covaxin,2,8,hot
VDIST_005,SHIP_00005,2,Lucknow,Kanpur,refrigerated_van,2026-04-19 12:00:00,2026-04-19 15:15:00,78.5,3.25,6.8,3.5,10.1,52,warning,temp_spike_on_highway,BATCH_VAC_2026_005,Covaxin,2,8,clear
VDIST_005,SHIP_00005,3,Kanpur,Jhansi,cold_truck,2026-04-19 15:45:00,2026-04-19 19:30:00,95.2,3.75,7.2,4.1,11.0,48,warning,humidity_variance,BATCH_VAC_2026_005,Covaxin,2,8,clear
VDIST_006,SHIP_00006,1,Delhi,Chandigarh,refrigerated_van,2026-04-19 07:30:00,2026-04-19 12:00:00,265.0,4.5,3.9,1.2,7.2,68,compliant,none,BATCH_VAC_2026_006,Novavax,2,8,clear
VDIST_006,SHIP_00006,2,Chandigarh,Mohali,cold_truck,2026-04-19 12:30:00,2026-04-19 13:45:00,15.8,1.25,4.1,2.5,6.3,70,compliant,none,BATCH_VAC_2026_006,Novavax,2,8,clear
VDIST_006,SHIP_00006,3,Mohali,Zirakpur,refrigerated_van,2026-04-19 14:15:00,2026-04-19 15:30:00,12.5,1.25,5.0,3.2,7.1,65,compliant,none,BATCH_VAC_2026_006,Novavax,2,8,clear
VDIST_007,SHIP_00007,1,Delhi,Jaipur,cold_truck,2026-04-19 05:00:00,2026-04-19 10:30:00,268.0,5.5,10.2,6.5,14.1,40,critical,critical_breach,BATCH_VAC_2026_007,Sinopharm,2,8,heatwave
VDIST_007,SHIP_00007,2,Jaipur,Ajmer,refrigerated_van,2026-04-19 11:00:00,2026-04-19 14:15:00,135.0,3.25,8.9,5.2,12.8,42,critical,temp_unrecoverable,BATCH_VAC_2026_007,Sinopharm,2,8,hot
VDIST_008,SHIP_00008,1,Delhi,Meerut,cold_truck,2026-04-19 09:15:00,2026-04-19 11:30:00,58.0,2.25,4.3,2.1,7.0,62,compliant,none,BATCH_VAC_2026_008,Pfizer_BioNTech,2,8,clear
VDIST_008,SHIP_00008,2,Meerut,Baharampur,refrigerated_van,2026-04-19 12:00:00,2026-04-19 14:15:00,45.2,2.25,5.4,3.0,8.2,58,compliant,none,BATCH_VAC_2026_008,Pfizer_BioNTech,2,8,clear
VDIST_009,SHIP_00009,1,Delhi,Kanpur,cold_truck,2026-04-19 08:00:00,2026-04-19 13:45:00,208.0,5.75,7.1,3.2,11.5,50,warning,temp_drift,BATCH_VAC_2026_009,Moderna,2,8,clear
VDIST_009,SHIP_00009,2,Kanpur,Lucknow,refrigerated_van,2026-04-19 14:15:00,2026-04-19 17:30:00,71.0,3.25,6.2,2.8,9.8,54,compliant,none,BATCH_VAC_2026_009,Moderna,2,8,clear
VDIST_010,SHIP_00010,1,Delhi,Bangalore,cold_truck,2026-04-19 04:00:00,2026-04-19 15:30:00,2194.0,11.5,15.3,8.2,21.5,35,critical,multiple_breaches,BATCH_VAC_2026_010,AstraZeneca,2,8,mixed
